"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"198";"AFNWS00020200122eg1m00004";2020-01-22;"Deutsche Welle";"Anglais";"Jan Philipp Wilhelm";"news | Ethiopia";"ethpa  africaz  dvpcoz  eafrz ";"";"c133  gcltre  ccat  cgymtr  cinprp  gcat  gcom ";"ethpa  africaz  dvpcoz  eafrz   c133  gcltre  ccat  cgymtr  cinprp  gcat  gcom ";999;"Ethiopian Teff - the Fight Against Biopiracy"
"199";"AFNWS00020191202efc2001v0";2019-12-02;"University of Cape Town";"Anglais";"";"news | South Africa";"safr  captw  africaz  bric  devgcoz  dvpcoz  souafrz ";"uocapt ";"guni  gcat  gedu ";"safr  captw  africaz  bric  devgcoz  dvpcoz  souafrz  uocapt  guni  gcat  gedu ";1784;"A Career Built By and for the People"
"200";"AFNWS00020191122efbm001rx";2019-11-22;"allAfrica.com";"Anglais";"Nicolette Naylor";"Johannesburg | guest column | Kenya";"kenya  nairoi  safr  africaz  bric  devgcoz  dvpcoz  eafrz  souafrz ";"";"gwori  gsexd  gsoc  gdip  ghum  gcat  gcom  gdcri  gpir ";"kenya  nairoi  safr  africaz  bric  devgcoz  dvpcoz  eafrz  souafrz   gwori  gsexd  gsoc  gdip  ghum  gcat  gcom  gdcri  gpir ";1040;"Reclaiming our Power - Reimagining the Global Agenda for Women and Girls"
"201";"AFNWS00020191101efb10073l";2019-11-01;"The Conversation";"Anglais";"Juan Miguel Kanai and Seth Schindler";"analysis";"lamz  africaz ";"oblrve  afrdb  umanch ";"gplan  genv  gcat  gpir  gpol  greg ";"lamz  africaz  oblrve  afrdb  umanch  gplan  genv  gcat  gpir  gpol  greg ";954;"How Mega Infrastructure Projects in Africa, Asia and Latin America Are Reshaping Development"
"202";"AFNWS00020191016efag001bc";2019-10-16;"AfricaFocus";"Anglais";"";"analysis";"africaz ";"jawanu  chraid ";"gcat  gpol  gteva  e11  ecat  gcrim  gfinc  gfraud  gpir  ncat  nfact  nfcpex ";"africaz  jawanu  chraid  gcat  gpol  gteva  e11  ecat  gcrim  gfinc  gfraud  gpir  ncat  nfact  nfcpex ";4595;"Targeting Corporate Shell Games"
"203";"AFNWS00020191007efa7000jj";2019-10-07;"The Conversation";"Anglais";"Charne Lavery and Meg Samuelson";"analysis";"africaz ";"";"";"africaz   ";799;"Literature Sheds Light On the History and Mystery of the Southern Ocean"
"204";"AFNWS00020191003efa30015y";2019-10-03;"This is Africa";"Anglais";"Socrates Mbamalu";"news";"africaz ";"akdgfu  bimega ";"";"africaz  akdgfu  bimega  ";618;"Dangote Donates $20m to the African Center to Help Change Global Narratives About Africa"
"205";"AFNWS00020190927ef9r0002s";2019-09-27;"The Conversation";"Anglais";"Benjamin Morgan";"analysis";"liber  africaz  dvpcoz  wafrz ";"";"gmusic  gcat  gent ";"liber  africaz  dvpcoz  wafrz   gmusic  gcat  gent ";934;"It's Wrong to Cut and Paste Global North Policies Onto Africa's Music Industries"
"206";"AFNWS00020190718ef7i001uw";2019-07-18;"Inter Press Service";"Anglais";"";"Nairobi | news";"nairoi  africaz  dvpcoz  eafrz  kenya ";"unocha ";"";"nairoi  africaz  dvpcoz  eafrz  kenya  unocha  ";1593;"How NGOs in Rich Countries Control Their Counterparts in Poor Countries..and Why They Refuse to Resolve It"
"207";"AFNWS00020190610ef6a0010t";2019-06-10;"Independent Media Institute";"Anglais";"Nate Singham";"opinion | Zambia";"dvpcoz ";"";"";"dvpcoz   ";2000;"How Powerful Mining Corporations Flagrantly Plunder the Global South Without Consequence"
"208";"AFNWS00020190401ef41001pn";2019-04-01;"The Conversation";"Anglais";"";"analysis";"africaz ";"";"ghiv  gcat  ghea  gmed  gspox  gstd ";"africaz   ghiv  gcat  ghea  gmed  gspox  gstd ";1030;"The Global South Is Changing How Knowledge Is Made, Shared and Used"
"209";"AFNWS00020190327ef3r001hh";2019-03-27;"Inter Press Service";"Anglais";"";"Buenos Aires | news";"lamz  africaz  arg  bueair  samz ";"";"gdip  gcat  gpir ";"lamz  africaz  arg  bueair  samz   gdip  gcat  gpir ";1187;"Communication, a Key Tool for South-South Cooperation"
"210";"AFNWS00020190327ef3r001gw";2019-03-27;"Inter Press Service";"Anglais";"";"Buenos Aires | news";"africaz  arg  bueair  lamz  samz ";"";"gclimt  gpov  gsust  gcat  gcom  genv  gglobe  gsoc ";"africaz  arg  bueair  lamz  samz   gclimt  gpov  gsust  gcat  gcom  genv  gglobe  gsoc ";1185;"South-South Cooperation - a Path to Implementing UN's 2030 Agenda"
"211";"AFNWS00020190219ef2j0010o";2019-02-19;"Inter Press Service";"Anglais";"Branislav Gosovic";"Geneva | news";"dvpcoz  bueair  arg  africaz  switz  dach  eurz  lamz  samz  weurz ";"";"c315  gdip  ccat  gcat  gpir ";"dvpcoz  bueair  arg  africaz  switz  dach  eurz  lamz  samz  weurz   c315  gdip  ccat  gcat  gpir ";1677;"The Challenges & Opportunities Facing South-South Cooperation"
"212";"AFNWS00020181224eeco0010a";2018-12-24;"Inter Press Service";"Anglais";"Branislav Gosovic";"Geneva | news";"dvpcoz  africaz  bueair  switz  arg  dach  eurz  lamz  samz  weurz ";"";"gdip  gcat  gpir ";"dvpcoz  africaz  bueair  switz  arg  dach  eurz  lamz  samz  weurz   gdip  gcat  gpir ";1748;"Bapa+40 - an Opportunity to Reenergize South-South Cooperation"
"213";"AFNWS00020181207eec7001h7";2018-12-07;"Inter Press Service";"Anglais";"Jamila Akweley Okertchiri";"Accra | news";"africaz  chinaz  china  accra  apacz  asiaz  bric  devgcoz  dvpcoz  easiaz  ghana  wafrz ";"";"";"africaz  chinaz  china  accra  apacz  asiaz  bric  devgcoz  dvpcoz  easiaz  ghana  wafrz   ";1094;"Creating an African Bamboo Industry As Large As China's"
"214";"AFNWS00020181018eeai00002";2018-10-18;"The Conversation";"Anglais";"Alf Gunvald Nilsen, University of Agder";"analysis";"dvpcoz  africaz ";"lsoeap  twban ";"gpov  gsoc  gcat  gcom ";"dvpcoz  africaz  lsoeap  twban  gpov  gsoc  gcat  gcom ";1032;"Why the World Bank's Optimism About Global Poverty Misses the Point"
"215";"AFNWS00020181015eeaf001b9";2018-10-15;"Government of South Africa";"Anglais";"";"press release | South Africa";"africaz  pretor  safr  bric  devgcoz  dvpcoz  souafrz ";"uyosha ";"gpol  guni  gedu  gcat  gpir ";"africaz  pretor  safr  bric  devgcoz  dvpcoz  souafrz  uyosha  gpol  guni  gedu  gcat  gpir ";1875;"Deputy Minister Buti Manamela - Decolonising Knowledge, Teaching and Learning in Higher Education"
"216";"AFNWS00020180920ee9k000sg";2018-09-20;"Government of South Africa";"Anglais";"";"press release | South Africa";"safr  africaz  bric  indon  johan  apacz  asiaz  devgcoz  dvpcoz  seasiaz  souafrz ";"";"gpol  guni  gcat  gedu  gpir ";"safr  africaz  bric  indon  johan  apacz  asiaz  devgcoz  dvpcoz  seasiaz  souafrz   gpol  guni  gcat  gedu  gpir ";2361;"Deputy Minister Reginah Mhaule - Outcomes of the 10th Brics Johannesburg Summit"
"217";"AFNWS00020180810ee8a0010w";2018-08-10;"The Conversation";"Anglais";"Mia Perry";"analysis";"africaz  uk  eecz  eurz  weurz ";"";"";"africaz  uk  eecz  eurz  weurz   ";980;"North-South Research Partnerships Must Break Old Patterns for Real Change"
"218";"AFNWS00020180802ee82001ry";2018-08-02;"The Conversation";"Anglais";"Alice J. Kang, University of Ghana and Peace A. Medie, University of Nebraska-Lincoln";"analysis";"africaz ";"unscou  utdnat ";"gedu  gcat ";"africaz  unscou  utdnat  gedu  gcat ";824;"Global South Scholars Are Missing From European and U.S. Journals. What Can Be Done About It"
"219";"AFNWS00020180628ee6s0018n";2018-06-28;"Government of South Africa";"Anglais";"";"press release | South Africa";"safr  africaz  durban  bric  devgcoz  dvpcoz  souafrz ";"";"gdip  npress  gcat  gpir  ncat ";"safr  africaz  durban  bric  devgcoz  dvpcoz  souafrz   gdip  npress  gcat  gpir  ncat ";1896;"Deputy Minister Reginah Mhaule - Brics Stakeholder Engagement"
"220";"AFNWS00020171218edci0013y";2017-12-18;"African Arguments";"Anglais";"Martin Mavenjina";"analysis | Kenya";"kenya  africaz  dvpcoz  eafrz ";"";"gpol  gcrim  gcat  gpir ";"kenya  africaz  dvpcoz  eafrz   gpol  gcrim  gcat  gpir ";976;"Could Global South Solidarity Finally Ensure Justice for Kenya's Endorois?"
"221";"AFNWS00020170626ed6q00099";2017-06-26;"";"Anglais";"by Farooq Kperogi";"afghanistan | africa | african+american | apartheid | azerbaijan | britain | canada | chad | clinton | community | cyprus | egypt | europe | georgia | inner+city | israel | japan | jewish | kazakhstan | kyrgyzstan | london | mali | media | mexico | middle+east | minorities | music | niger | nigeria | pakistan | politics | poverty | president | saudi+arabia | somalia | south+africa | south+korea | tajikistan | turkey | turkmenistan | uzbekistan | violence | war";"africaz  cana  egypt  israel  jap  mali  mex  nigea  somal  turk  usa  apacz  asiaz  balkz  devgcoz  dvpcoz  eafrz  easiaz  eurz  lamz  meastz  medz  nafrz  namz  wafrz  wasiaz ";"";"gracm  ggeo  nedc  gcat  gcom  gdcri  ghum  gsci  gsoc  ncat  nfact  nfcpex ";"africaz  cana  egypt  israel  jap  mali  mex  nigea  somal  turk  usa  apacz  asiaz  balkz  devgcoz  dvpcoz  eafrz  easiaz  eurz  lamz  meastz  medz  nafrz  namz  wafrz  wasiaz   gracm  ggeo  nedc  gcat  gcom  gdcri  ghum  gsci  gsoc  ncat  nfact  nfcpex ";1696;"Geographic Genteelisms - How We Use Geography to Hide Our Prejudice [opinion]"
"222";"AFNWS00020170622ed6m000s9";2017-06-22;"";"Anglais";"by Secretary-General Antonio Guterres";"bank | children | community | economy | environment | ethiopia | health | hosting | human+rights | impact | international+law | jordan | kenya | law | lebanon | legal | nutrition | politics | portugal | poverty | refugee | security | terrorism | threat | uganda | unions";"africaz  kenya  uganda  dvpcoz  eafrz ";"utdnat ";"gimm  gterr  nedc  gcat  gcns  gcrim  gpir  ncat  nfact  nfcpex ";"africaz  kenya  uganda  dvpcoz  eafrz  utdnat  gimm  gterr  nedc  gcat  gcns  gcrim  gpir  ncat  nfact  nfcpex ";1968;"Refugee Protection an Obligation Under International Law [opinion]"
"223";"AFNWS00020170606ed66000jx";2017-06-06;"";"Anglais";"";"abortion | academic | aids | budget | canada | career | ceo | children | china | civil+rights | clinic | community | congress | contraception | diplomatic | discrimination | disease | education | emergency | epidemic | equity | executive | expansion | family | famine | food | foreign+aid | foundation | ghana | government | guidance | haiti | health | healthcare | hiv | human+rights | impact | insurance | legislation | liberalization | local | market | media | medical | men | mexico | new_york | nigeria | note | nutrition | partnership | physicians | policy | population | pregnancy | president | protest | quarter | radio | rates | republican | result | risk | structural | teen | training | washington | white+house | woman | women";"africaz  cana  china  ghana  mex  nigea  usa  usdc  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  lamz  namz  uss  wafrz ";"guttma  unpopf ";"gabor  gtrea  nanl  gcat  gcom  gethic  ghea  gsoc  ncat ";"africaz  cana  china  ghana  mex  nigea  usa  usdc  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  lamz  namz  uss  wafrz  guttma  unpopf  gabor  gtrea  nanl  gcat  gcom  gethic  ghea  gsoc  ncat ";4249;"'Pro-Death' Health Agendas Advance [analysis]"
"224";"AFNWS00020170503ed53000ka";2017-05-03;"";"Anglais";"by Shafik Mandhai";"academic | afghanistan | arrest | asia | bangladesh | britain | censorship | children | contractors | environment | europe | france | gangs | government | index | iraq | local | market | media | mexico | money | murder | nepal | nigeria | politics | security | south+africa | sri+lanka | standards | sudan | syria | television | track | training | war | writing | yemen";"sudan  fra  africaz  iraq  mex  nigea  uk  yemar  asiaz  devgcoz  dvpcoz  eafrz  eecz  eurz  gulfstz  lamz  meastz  medz  namz  wafrz  wasiaz  weurz ";"";"gcens  gimm  gmurd  nedc  gcat  gcom  gcrim  ghum  gpir  ncat  nfact  nfcpex ";"sudan  fra  africaz  iraq  mex  nigea  uk  yemar  asiaz  devgcoz  dvpcoz  eafrz  eecz  eurz  gulfstz  lamz  meastz  medz  namz  wafrz  wasiaz  weurz   gcens  gimm  gmurd  nedc  gcat  gcom  gcrim  ghum  gpir  ncat  nfact  nfcpex ";1508;"Double Standards - Do All Journalist Lives Matter? [opinion]"
"225";"AFNWS00020170427ed4r000iq";2017-04-27;"";"Anglais";"by Noeleen Heyzer and Anis Chowdhury";"africa | asia | bank | business | china | commodity | contract | economy | egypt | equity | export | food | ghana | human+rights | imf | india | indonesia | liberalization | mississippi | policy | politics | president | prices | privatization | recall | recession | religion | security | structural | trade | university | violence | weather | women";"indon  bndung Bandung (Discontinued from 16th May 2017) africaz  china  ghana  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz  wafrz ";"";"gdip  e512  nedc  e51  ecat  gcat  gpir  ncat  nfact  nfcpex ";"indon  bndung Bandung (Discontinued from 16th May 2017) africaz  china  ghana  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz  wafrz   gdip  e512  nedc  e51  ecat  gcat  gpir  ncat  nfact  nfcpex ";1173;"Reclaiming the Bandung Spirit for Shared Prosperity [opinion]"
"226";"AFNWS00020161201ecc10010k";2016-12-01;"";"Anglais";"by Ana Naomi de Sousa";"academic | africa | agricultural | algeria | angola | apartheid | architect | asia | burkina+faso | cape+verde | conference | congo | cuba | doctors | education | egypt | ethiopia | financial+aid | france | ghana | government | guinea+bissau | hotel | housing | madrid | medical | men | military | mozambique | namibia | new_york | police | policy | politics | russia | sanctions | security | socialism | somalia | south+africa | teachers | tokyo | training | transportation | unions | war | washington | weapons | writer | yemen | zimbabwe";"cuba  safr  africaz  alg  egypt  fra  ghana  havana  jap  somal  spain  usa  yemar  zimbab  apacz  asiaz  bric  caribz  devgcoz  dvpcoz  eafrz  easiaz  eecz  eurz  lamz  meastz  medz  nafrz  namz  souafrz  wafrz  wasiaz  weurz ";"";"gdip  gcat  gpir ";"cuba  safr  africaz  alg  egypt  fra  ghana  havana  jap  somal  spain  usa  yemar  zimbab  apacz  asiaz  bric  caribz  devgcoz  dvpcoz  eafrz  easiaz  eecz  eurz  lamz  meastz  medz  nafrz  namz  souafrz  wafrz  wasiaz  weurz   gdip  gcat  gpir ";1636;"Fidel Castro's African Legacy - Friendship and Freedom [opinion]"
"227";"AFNWS00020160929ec9t000qp";2016-09-29;"";"Anglais";"by Tharanga Yakupitiyage";"china | ecuador | education | fiji | foreign+affairs | georgia | human+resources | partnership | poverty | president | prime+minister | thailand";"thail  africaz  china  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz ";"utdnat ";"gdip  gpol  gsust  ccsr  genv  ccat  gcat  gpir  ncat  nfact  nfcpex ";"thail  africaz  china  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  seasiaz  utdnat  gdip  gpol  gsust  ccsr  genv  ccat  gcat  gpir  ncat  nfact  nfcpex ";667;"Global South Address Sustainable Development Challenges"
"228";"AFNWS00020160923ec9n000uu";2016-09-23;"";"Anglais";"";"actor | africa | appointment | cancer | europe | famine | health | infection | legal | libya | military | nato | new_york | policy | politics | refugee | security | unions | united+nations";"africaz  libya  dvpcoz  meastz  medz  nafrz ";"ungass  unscou  utdnat ";"gimm  gsust  nanl  gcat  genv  gpir  ncat ";"africaz  libya  dvpcoz  meastz  medz  nafrz  ungass  unscou  utdnat  gimm  gsust  nanl  gcat  genv  gpir  ncat ";1104;"Time for Africa to Push for Global South Voices At the UN Decision Making Table [analysis]"
"229";"AFNWS00020160522ec5m000pd";2016-05-22;"";"Anglais";"by Idriss Jazairy";"academic | children | consulting | discrimination | georgia | human+rights | merger | politics | pornography | treaty | women";"africaz ";"";"ghum  nanl  gcat  gcom  ncat ";"africaz   ghum  nanl  gcat  gcom  ncat ";1641;"Special Procedures of the Human Rights Council - Assessment & Way Forward [analysis]"
"230";"AFNWS00020160317ec3h000pa";2016-03-17;"";"Anglais";"by Neerja Chowdhary, Penny Warren";"afghanistan | africa | cambodia | charity | chechnya | children | clinical | college | community | depression | disease | emergency | epidemic | ethiopia | health | healthcare | human+resources | india | iraq | kenya | lebanon | legislation | london | medical | mental+health | national+institute+of+mental+health | nepal | nigeria | online | palestinian | poverty | rates | refugee | research | russia | science | sierra+leone | somalia | south+africa | sri+lanka | statistics | training | tv | uganda | united+states | university | war | world+bank";"africaz  iraq  kenya  nigea  somal  uganda  india  asiaz  bric  devgcoz  dvpcoz  eafrz  gulfstz  indsubz  meastz  sasiaz  wafrz  wasiaz ";"";"ghea  gment  gcat  gmed ";"africaz  iraq  kenya  nigea  somal  uganda  india  asiaz  bric  devgcoz  dvpcoz  eafrz  gulfstz  indsubz  meastz  sasiaz  wafrz  wasiaz   ghea  gment  gcat  gmed ";1476;"Better Mental Health in the Global South: Key Resources"
"231";"AFNWS00020160316ec3g00130";2016-03-16;"";"Anglais";"by Neerja Chowdhary, Penny Warren";"afghanistan | africa | cambodia | charity | chechnya | children | clinical | college | community | depression | disease | emergency | epidemic | ethiopia | health | healthcare | human+resources | india | iraq | kenya | lebanon | legislation | london | medical | mental+health | national+institute+of+mental+health | nepal | nigeria | online | palestinian | poverty | rates | refugee | research | russia | science | sierra+leone | somalia | south+africa | sri+lanka | statistics | training | tv | uganda | united+states | university | war | world+bank";"africaz  iraq  kenya  nigea  somal  uganda  india  asiaz  bric  devgcoz  dvpcoz  eafrz  gulfstz  indsubz  meastz  sasiaz  wafrz  wasiaz ";"";"ghea  gment  gcat  gmed ";"africaz  iraq  kenya  nigea  somal  uganda  india  asiaz  bric  devgcoz  dvpcoz  eafrz  gulfstz  indsubz  meastz  sasiaz  wafrz  wasiaz   ghea  gment  gcat  gmed ";1476;"Better Mental Health in the Global South: Key Resources"
"232";"AFNWS00020160121ec1l000h9";2016-01-21;"";"Anglais";"";"africa | agricultural | agriculture | apartheid | argentina | arizona | asia | bank | benin | biology | canada | children | china | colombia | commercial | community | conservation | corporate | costa+rica | criminal | crops | ecuador | election | europe | farmers | farming | food | foundation | ghana | grain | guatemala | guinea+bissau | honduras | industrial | investment | kenya | law | legal | local | maize | malawi | marketing | natural+resources | note | nutrition | partnership | patent | plant | policy | politics | president | products | profit | property | quality+control | regulations | rice | science | south+africa | species | technology | trade | trial | unions | university | water | wheat | women | world+trade+organization | zimbabwe";"safr  africaz  arg  cana  china  col  durban  ghana  kenya  zimbab  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  namz  samz  souafrz  wafrz ";"";"c133  ccat  cgymtr  cinprp ";"safr  africaz  arg  cana  china  col  durban  ghana  kenya  zimbab  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  lamz  namz  samz  souafrz  wafrz   c133  ccat  cgymtr  cinprp ";3184;"Africa - Stealth Assault On African Seeds"
"233";"AFNWS00020151230ebcu00002";2015-12-30;"";"Anglais";"";"agricultural | book | botswana | carrier | college | conservation | diamond | drought | economy | energy | environment | family | government | investment | legal | mexico | mining | paris | politics | saudi+arabia | south+africa | trade | water";"bots  africaz  gabroe  mex  paris  usa  devgcoz  dvpcoz  eecz  eurz  fra  ilefra  lamz  medz  namz  souafrz  weurz ";"";"gclimt  nanl  gcat  genv  gglobe  ncat ";"bots  africaz  gabroe  mex  paris  usa  devgcoz  dvpcoz  eecz  eurz  fra  ilefra  lamz  medz  namz  souafrz  weurz   gclimt  nanl  gcat  genv  gglobe  ncat ";1154;"Climate Change Adaptation Is Not Just About Vulnerable Countries [analysis]"
"234";"AFNWS00020151125ebbp00092";2015-11-25;"";"Anglais";"";"accident | advisor | africa | asia | cameroon | career | community | conference | executive | family | hosting | india | policy | president | research | science | track | zimbabwe";"zimbab  africaz  india  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz  souafrz ";"";"gpol  gsci  gcat  gpir ";"zimbab  africaz  india  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz  souafrz   gpol  gsci  gcat  gpir ";744;"Tribute to Professor Sam Moyo, a Great Intellectual, and a Man of Integrity"
"235";"AFNWS00020151120ebbk0018n";2015-11-20;"";"Anglais";"by Colin Chasi and Ylva Rodny-Gumede";"academic | africa | education | educators | film | georgia | Johannesburg | poaching | politics | research | science | south+africa | swimming | technology | television | university | writer | writing";"africaz  johan  safr  bric  devgcoz  dvpcoz  souafrz ";"tuyojg ";"guni  gcat  gedu ";"africaz  johan  safr  bric  devgcoz  dvpcoz  souafrz  tuyojg  guni  gcat  gedu ";1283;"Revealing Uncomfortable Truths [opinion]"
"236";"AFNWS00020151104ebb4000hs";2015-11-04;"";"Anglais";"";"africa | apartheid | asia | brazil | burundi | china | conference | congo | contributions | democracy | dominican+republic | economic+growth | economy | energy | environment | human+rights | india | international+law | investment | legal | lesotho | madagascar | paris | partnership | policy | politics | poverty | russia | security | south+africa | sudan | trade | unemployment | unions | university";"safr  africaz  china  sudan  india  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  indsubz  sasiaz  souafrz ";"";"gdip  c315  gpol  ccat  gcat  gpir ";"safr  africaz  china  sudan  india  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz  indsubz  sasiaz  souafrz   gdip  c315  gpol  ccat  gcat  gpir ";2190;"Deputy Minister Luwellyn Landers - Public Lecture At Pontifica Universidad Catolica Madre Y Maestra [press release]"
"237";"AFNWS00020150928eb9s000ox";2015-09-28;"";"Anglais";"";"education | employment | industrial | new_york | nigeria | policy | politics | president | technology | trade | united+nations";"africaz  nigea  dvpcoz  wafrz ";"ungass ";"gpol  gcat  gpir ";"africaz  nigea  dvpcoz  wafrz  ungass  gpol  gcat  gpir ";563;"Nigeria Remains Committed to Building Value-Driven Partnerships With Countries of South - Buhari"
"238";"AFNWS00020150916eb9g001js";2015-09-16;"";"Anglais";"by Laura Owings";"africa | asia | brazil | economic+growth | germany | investment | policy | research | research+and+development | science | south+africa | south+america";"africaz  safr  bric  devgcoz  dvpcoz  souafrz ";"";"";"africaz  safr  bric  devgcoz  dvpcoz  souafrz   ";461;"Is South-South Cooperation Just a Catchphrase? [opinion]"
"239";"AFNWS00020150908eb98000vb";2015-09-08;"";"Anglais";"by Willy Mutunga";"academic | actor | africa | australia | bolivia | book | business | civil+rights | colombia | communications | conference | constitution | costa+rica | criminal | democracy | ecuador | equity | executive | explosion | forensic | foundation | government | human+rights | india | insurance | international+law | kenya | law | legal | local | men | merger | nigeria | parliament | pilot | policy | politics | poverty | president | prison | science | security | south+africa | supreme+court | technology | trade | training | travel | treaty | unions | utilities | venezuela | women";"nigea  kenya  africaz  austr  bol  col  ven  india  apacz  asiaz  ausnz  bric  devgcoz  dvpcoz  eafrz  indsubz  lamz  samz  sasiaz  wafrz ";"ngbrss ";"gvsup  gcat  gpir  gpol  gvbod ";"nigea  kenya  africaz  austr  bol  col  ven  india  apacz  asiaz  ausnz  bric  devgcoz  dvpcoz  eafrz  indsubz  lamz  samz  sasiaz  wafrz  ngbrss  gvsup  gcat  gpir  gpol  gvbod ";5765;"Transforming the Judiciary in Kenya - Lessons From the Kenyan Experience"
"240";"AFNWS00020150903eb930019r";2015-09-03;"";"Anglais";"";"academic | actor | australia | bangladesh | charity | china | community | europe | health | kenya | media | medical | nepal | north+america | partnership | policy | research | university";"africaz  austr  china  kenya  apacz  asiaz  ausnz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz ";"";"gcha  gcat  gcom ";"africaz  austr  china  kenya  apacz  asiaz  ausnz  bric  chinaz  devgcoz  dvpcoz  eafrz  easiaz   gcha  gcat  gcom ";941;"Volunteering and Development Research - Time for a Rethink [guest column]"
"241";"AFNWS00020150812eb8c000le";2015-08-12;"";"Anglais";"";"africa | community | conference | environment | food | kenya | legal | local | mozambique | nepal | policy | poverty | research | rubber | rwanda | united+nations";"kenya  africaz  dvpcoz  eafrz ";"";"";"kenya  africaz  dvpcoz  eafrz   ";1218;"Valuing Volunteering, One Year On - Reflections and Expectations [guest blog]"
"242";"AFNWS00020150711eb7b000ia";2015-07-11;"";"Anglais";"by Laura Czerniewicz, University of Cape Town";"academic | africa | asia | bandwidth | europe | gdp | government | grants | investigation | literature | local | money | north+america | oecd | policy | publishing | research | research+and+development | science | technology | unions";"africaz ";"";"nanl  ncat ";"africaz   nanl  ncat ";1000;"It's Time to Redraw the World's Very Unequal Knowledge Map [analysis]"
"243";"AFNWS00020150623eb6n001uq";2015-06-24;"";"Anglais";"";"africa | agricultural | cameroon | children | drugs | electricity | ethiopia | finance | food | foundation | government | health | investment | legal | legislation | medical | nigeria | nutrition | policy | politics | research | science | security | south+africa | technology | uganda | unions | web";"africaz  nigea  uganda  dvpcoz  eafrz  wafrz ";"";"gsust  nanl  gcat  genv  gpir  gplan  gpol  ncat ";"africaz  nigea  uganda  dvpcoz  eafrz  wafrz   gsust  nanl  gcat  genv  gpir  gplan  gpol  ncat ";1046;"Helping African Science Academies Build Policy Clout [analysis]"
"244";"AFNWS00020150608eb68000lc";2015-06-08;"";"Anglais";"";"africa | asia | australia | canada | contract | corporate | debt | democracy | education | email | environment | europe | government | health | housing | human+rights | legal | local | luxembourg | men | money | north+america | note | policy | politics | poverty | privatization | profit | revenue | tax | taxes | trade | transportation | unions | water | women";"africaz  austr  cana  lux  tuncty  apacz  ausnz  benluxz  dvpcoz  eecz  eurz  medz  nafrz  namz  tunis  weurz ";"chraid ";"ghea  gpol  nanl  gcat  gpir  ncat ";"africaz  austr  cana  lux  tuncty  apacz  ausnz  benluxz  dvpcoz  eecz  eurz  medz  nafrz  namz  tunis  weurz  chraid  ghea  gpol  nanl  gcat  gpir  ncat ";2023;"Tax Justice and Inequality [analysis]"
"245";"AFNWS00020150423eb4n00006";2015-04-23;"";"Anglais";"by Admire Chereni";"academic | africa | children | china | community | economic+growth | economy | education | el+salvador | employment | family | fire | health | hiv | household | infection | investment | Johannesburg | legal | market | marriage | medicine | men | money | oecd | policy | politics | public+policy | research | south+africa | structural | training | woman | women | writing | zimbabwe";"africaz  china  johan  safr  zimbab  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz ";"";"e11  ghea  nanl  ecat  gcat  ncat ";"africaz  china  johan  safr  zimbab  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz   e11  ghea  nanl  ecat  gcat  ncat ";3102;"Counting the Costs - Reflections On Personal Vulnerability in Debates On the Migration-Development Nexus [analysis]"
"246";"AFNWS00020150127eb1r00119";2015-01-27;"";"Anglais";"by Alexander O'Riordan";"actor | architecture | bank | belgium | economy | election | environment | europe | european+central+bank | germany | greece | health | imf | international+monetary+fund | ireland | italy | jamaica | policy | politics | population | portugal | public+policy | recipe | salaries | spain | taxes | ukraine | unions";"greece  africaz  belg  eecz  italy  balkz  benluxz  devgcoz  eurz  medz  weurz ";"imonf  euruno ";"ghea  gpol  gcat  gpir ";"greece  africaz  belg  eecz  italy  balkz  benluxz  devgcoz  eurz  medz  weurz  imonf  euruno  ghea  gpol  gcat  gpir ";1185;"Will the Greek Elections Strengthen the Hands of the Global South? [analysis]"
"247";"AFNWS00020150114eb1e0011g";2015-01-14;"";"Anglais";"";"africa | bank | ceo | democracy | economic+growth | education | equity | executive | guinea | health | hosting | mining | nutrition | policy | politics | president | productivity | university";"africaz  vcan  eurz  weurz ";"oxfami ";"ghea  grel  gcat  gcom ";"africaz  vcan  eurz  weurz  oxfami  ghea  grel  gcat  gcom ";572;"Rising Inequality in the Global South - Practice and Solutions [press release]"
